text,prediction
RT @ah_ekinci: İftiracı medyaya ve işverenlerine duyurulur: Hala kayıp olduğu iddia edilen Koray Sarısaçlı'dan açıklama:  “Furkan Gönüllüle…,[[0.46964119 0.53035881]]
+ Dokunamadığın birini nasıl sevebilirsin ki ihtiyar ?   -Gerçek bir aşık böyle şeyleri sorgulamaz evlat.,[[0.46964119 0.53035881]]
Nasıl düşünmüyorsunuz var mı bir yoluu,[[0.46964119 0.53035881]]
@biryikik Rikitakata,[[0.46964119 0.53035881]]
RT @sedat_peker: 5-Lan kaşar sülü,[[0.46964119 0.53035881]]
RT @FeyziArslan18: GÜNDEM ÇALIŞMAMIZ BAŞLADI❗️  Etiketimiz:  Kardeşlerimiz SerbestKalsın,[[0.46964119 0.53035881]]
asla ortam yok maalesef ya hayatımın sonuna kadar evlenmeyip oradan buraya gezmelik benim gibi yerinde duramayan sevgili yapıcam ya da bana arkadaş ve aile olsun diye çocuk yapıp tüm hayatımı çocuğuma adayacağım,[[0.46964119 0.53035881]]
RT @a_imamoglu_: Zulüm ile âbad olunmaz....  https://t.co/hUydX4o1dT,[[0.40711539 0.59288461]]
@FatihDogmus Bu kaltak yaratığı şimdi öldürseler kadın cinayeti diye velvele yaparlar.,[[0.46964119 0.53035881]]
kadınların rehabilitasyon merkeziniz olmadığını,[[0.46964119 0.53035881]]
@ethembulbul_ @GalatasaraySK Totem ne Beşiktaş alır hayatını bas ya,[[0.46964119 0.53035881]]
RT @antakya_furkan: Röportaj | Medyaya güveniyor musunuz? Adana sokaklarına yerel medyayı sorduk! Sahte habere maruz kaldığınızı düşünüyor…,[[0.46964119 0.53035881]]
Sende güzel olabilirsin kafam gibi amaaaa...,[[0.46964119 0.53035881]]
@7Umuteroglu @xbay07 @cemo968 @goktekivosvoslu @umutaslabitmez Rica ederim umutcan  😇,[[0.46964119 0.53035881]]
@Ogulcangungordu @pelinuzl Biliyorum,[[0.46964119 0.53035881]]
RT @Beir63488788: Adana Adliyesi önünde bekleyen arkadaşlarımıza polisler darp ve biber gazıyla karşılık verdi  Tertemiz Furkan Gönüllüleri…,[[0.46964119 0.53035881]]
@miiuuvv dine tekrar geri girmek için ettiği küfrü silmiş bi de :d,[[0.45258446 0.54741554]]
RT @SmyyKynrpnr: Kardeşlerimiz SerbestKalsın  https://t.co/XWy5dHnATv,[[0.40711539 0.59288461]]
@dilaracann30 😊,[[0.46964119 0.53035881]]
ahahahahajaja hiç şaşırmadım türkiyeye gelen bir tane afgan kadın bulabilirseniz beraber büyütürsünüz dayanışmanızı aq siyasal foncu feministleri sizi,[[0.46964119 0.53035881]]
3 gülsek 5 ağlıyoruz :(,[[0.46964119 0.53035881]]
günaydın bana her gün bundan oluyo  https://t.co/M7ec2Up3ye,[[0.40711539 0.59288461]]
@Silayksel4 😂😂,[[0.46964119 0.53035881]]
RT @furkanvakfi: Tutuksuz yargılamanın esas olması gerektiği adalet saraylarında(!) delilsiz ispatsız talimatla verilen tutuklama kararları…,[[0.46964119 0.53035881]]
RT @semrakuytul: Çok geçmiş olsun..,[[0.46964119 0.53035881]]
RT @furkanvakfi: SUÇSUZLUĞUMUZU HAZMEDEMEDİNİZ!  YAZIKLAR OLSUN!  Kayıp iş adamının ortaya çıkması üzerine tutuklu bulunan iki kardeşimizin…,[[0.76269171 0.23730829]]
RT @Rmysa_Sari: Eşim Koray Sarısaçlı'nın kaybolmasıyla alakalı ciddi şüphelerim oluştu. Bu isimlerle alakalı bugün savcılığa suç duyurusund…,[[0.46964119 0.53035881]]
Lisedeki öğretmenlerimi özledim ben :/,[[0.28852765 0.71147235]]
@hseyinb43541761 Sakın espri yaptım  deme  🙄😂,[[0.46964119 0.53035881]]
"RT @AhmedCelikten: 2017 yılında kriz geliyor diye uyarmıştı  Her ne kadar \"Fiyatlar #GayetUygun",[[0.46964119 0.53035881]]
Özür dilemek,[[0.46964119 0.53035881]]
@oztekinduyguu Farklı yönelime sapkınlık diyebiliyor,[[0.46964119 0.53035881]]
RT @turgaykacmazz: cevresi genis gozuken insanlarin genelde yapayalniz olmasi,[[0.46964119 0.53035881]]
RT @furkanhuzeyfe: Başta @ihacomtr olmak üzere bu isimleri kesin suçlu gibi gösteren @cumhuriyetgzt @gazetesozcu @cnnturk bu mahkeme kararı…,[[0.46964119 0.53035881]]
"#gozlukchallenge  https://t.co/v44R1IPTNU",[[0.40711539 0.59288461]]
@olduozaman000 Allah razı olsun sizinkini de kabul etsin inşallah 🙏 hayırlı sabahlar,[[0.45258446 0.54741554]]
@ethembulbul_ Oda herkesin elinde olmaz ki,[[0.46964119 0.53035881]]
Bir uyuyup hayal kurdurmadınız aq ya,[[0.46964119 0.53035881]]
Bence psikolojisinin bozuk olduğunu iddia edip bunun bilincinde olan kimsenin psikolojisi bozuk değildir .,[[0.46964119 0.53035881]]
@iremsehren @Ozgekocahan Bugün attığın twitlerine genel olarak cevap verilmişti oysa ki hahahaha,[[0.46964119 0.53035881]]
@1dilhunnn Meryem dinden atıldın bb 👋🏻,[[0.46964119 0.53035881]]
Bazı güzeller var,[[0.46964119 0.53035881]]
Yoruldukkkkkkkkk herşeydennn,[[0.46964119 0.53035881]]
Birinden bir şey yapmasını çok istiyorsanız ona yapmaması gerektiğini söyleyin mutlaka istediğinizi yapacaktır.,[[0.46964119 0.53035881]]
RT @animalsdoings:  https://t.co/217goIBqMt,[[0.40711539 0.59288461]]
@bayaminik @erguvanruhu @rumsplaining BİİRR DERDİM VAR ARTIK TUTAMMMAM İÇİMDEEEE,[[0.46964119 0.53035881]]
@Ozgekocahan @eminecoskun00 Çen pişman mı oldünnnn🥳,[[0.46964119 0.53035881]]
RT @Omarsenn: Kardeşlerimiz SerbestKalsın  İçerde Kardeşlerimize  Dışarıda Kardeşlerinin hakkını savunanlara zulüm bitmiyor !  https://t.co/…,[[0.40711539 0.59288461]]
@aytulkanturk adanada olsa ilk seni davet ederdim 👉🏻👈🏻,[[0.46964119 0.53035881]]
"RT @SakaryaSavasi: (1) Yb. Mustafa Kemal Bey'in Canakkale'deki emri:  \"Size ben taarruzu emretmiyorum. Ölmeyi emrediyorum! BİZ ölünceye  ka…",[[0.28852765 0.71147235]]
@orhancangorgun ısırsam keşke seni 🤍,[[0.46964119 0.53035881]]
@Mehmet19709 @denizzzzdmr Buna rağmen git gide artan dolar borcumuz var  tepedekilerin saltanatına yetişemeyeceğiz.,[[0.46964119 0.53035881]]
zifiri karanlığın içinde kendi dünyamı izliyorum,[[0.46964119 0.53035881]]
@Gingerx16 götünü ısırırım cnm 💖,[[0.46964119 0.53035881]]
@ahmetelmas21 Bu şey değil mi ya ben @goktekivosvoslu,[[0.28852765 0.71147235]]
Hayatımdaki herşey için az kaldı,[[0.46964119 0.53035881]]
@_dilaracann30 😊♡..,[[0.46964119 0.53035881]]
kykda kalsam bunun fal versiyonunu yapar parayı kırardım sad,[[0.5324691 0.4675309]]
