text,prediction
Elhamdülillah kürdüm.,[[0.46964119 0.53035881]]
kızım ilk defa sinek yakalamaya çalıştı onda da sineği yakalamak yerine evin içinde depar atarken tüm eşyaları devirip kırdı.. yaş mama kısıtlamasına gitme zamanı gelmiş malsf,[[0.46964119 0.53035881]]
The art                /                   The artist  https://t.co/SJVTxjgHr3,[[0.33229525 0.66770475]]
ideal 🤝,[[0.46964119 0.53035881]]
Kaybetme korkusu kaybetme sebebidir.,[[0.46964119 0.53035881]]
Düşünce her zaman aynıdır insan mükemmel değildir.,[[0.46964119 0.53035881]]
"Medyaya Güvenmeli Miyiz? - Kaçırılan İş Adamı Hadisesi \"10 Eylül 2021’den bu yana Türkiye gündemini meşgul eden kaybolan iş adamının hadisesi",[[0.31077897 0.68922103]]
Yüzyüze eğitimde hocanın sesini mutelayıp arkada house flipper oynayamayacağımı öğrenince benim sıfatül eşgalü taaşşuk-ı talat ve fitnat  https://t.co/3Jq3K0wh5f,[[0.49210524 0.50789476]]
RT @sellyapisces: Asım Şekip Kaya Üniversitesi Astroloji Ve Ritüel Anabilim Dalı 🙌🏻🥳,[[0.46964119 0.53035881]]
RT @Hilal01Defne: Kardeşlerimiz SerbestKalsın  https://t.co/6rkqaUxIFD,[[0.40711539 0.59288461]]
RT @JkMusti: İstanbul da bir kadın eşini bıçakla doğramış Ve erkek ölmüş 🤔😞  https://t.co/bHrivBydqs,[[0.40711539 0.59288461]]
Her şeye iyi niyetle yaklaşmak öldürür.,[[0.46964119 0.53035881]]
sizce ben 15 dakikalık egzersiz videosunu duraklata duraklata 1 saatte ve götümden soluyarak anca bitiriyo muyumdur,[[0.33869018 0.66130982]]
RT @TugayTASCI02: Vallahi Allah tuzak kuranların en hayırlısıdır. MedyaEliyle TuzakKuruluyor,[[0.46964119 0.53035881]]
Karşısındaki insanla 2 kelimeyi birleştirip konuşamayan,[[0.46964119 0.53035881]]
@404Sokak O güçten sabah eser kalmıyor Onuda fark etmişsindir.,[[0.46964119 0.53035881]]
RT @furkanvakfi: Merhum Kemal Erdoğan ağabeyimizin kurduğu Grup Furkan koro ekibi tefsir dersi ön programında şeflerini hayırla yad edip gü…,[[0.46964119 0.53035881]]
@oskanboww @Torreserdar Peki bizim tansiyonumuzla oynamaya ne hakkın vardı  😑,[[0.46964119 0.53035881]]
"Müslüm Gürses dinlemediyseniz çok şey kaybetmişsinizdir ama dinlediyseniz de çok şey kaybetmişsinizdir.    \" Müslüm Gürses--sigara \"",[[0.45258446 0.54741554]]
@m_cemilkilic Ben orayı iyi yönetirim ama işime karışırlar kavga çıkar.,[[0.28852765 0.71147235]]
@eksuzmii yaptığın hazırlık  https://t.co/jcIm9nz0S6,[[0.40711539 0.59288461]]
@albeeniii M,[[0.46964119 0.53035881]]
@samskarli Senin şuan yaptığın o komşunun yaptığından daha kötü hayvan bile hem cinsine acır. Seninde sonunu burdan yazan olur inşallah,[[0.46964119 0.53035881]]
@BirGun_Gazetesi HerkeZ tesbit edemez.,[[0.46964119 0.53035881]]
@Ozgekocahan Çok korkunç lann,[[0.46964119 0.53035881]]
Uyanın lan artık ben uyumuyorsam siz de uyumicaksınız  😒,[[0.3229543 0.6770457]]
"( \"                                      \" ) Diyeceklerim bu kadar teşekkürler.",[[0.46964119 0.53035881]]
"RT @Tongarts: Atatürk'ün fotoğrafçısı Cemal Işıksel şöyle anlatıyor anılarında; \"Bir kare resmini çekmek birbirimizle yarışırdık  onun güld…",[[0.46964119 0.53035881]]
İnsanlarla iletişim halinde olmak beni çok yormaya başladı yine,[[0.46964119 0.53035881]]
gelecekteki kocam sadece gülümsemeli çift fotoğrafları yerine böyle fotoğraflarımıza hazır ol,[[0.46964119 0.53035881]]
RT @01mustafasahin: Bu Zulmünüz yaptığınız bütün planları boşa çıkaracak ve Allah furkan gönüllülerini insanlara sevdirecek ve her geçen gü…,[[0.46964119 0.53035881]]
Üşengeç insanım birini sevmeye bile üşeniyorum,[[0.46964119 0.53035881]]
RT @semrakuytul: Alparslan Kuytul Hocaefendi Furkan Gönüllülerinin Adana Emniyetinde maruz kaldığı onur ve haysiyet kırıcı işkenceye sert t…,[[0.46964119 0.53035881]]
Kafamın içindekileri sustursam yandan birisi müzik açıyor 😌,[[0.46964119 0.53035881]]
RT @bunyaminserin_: @edebiyataykiri “Sabır çiçektir,[[0.46964119 0.53035881]]
RT @yakupsahin27: İftiracıİHA RezilOldu #FurkanaKumpasÇöktü,[[0.46964119 0.53035881]]
@Ozgekocahan Dimi dimi takılsın gençler kendi aralarında 😄😄,[[0.46964119 0.53035881]]
@Songul4535 O kendini kandırmış senin iyiliğin geçerli ne için vermiştin o geçerli,[[0.46964119 0.53035881]]
Güzel olacağını bilsek yapacağımız çok sey var,[[0.46964119 0.53035881]]
RT @gicareyizz: #AdanaSözlüğü - 01  Avans: Rakibe verilen geçici üstünlük. 😉  #BJKvADS,[[0.46964119 0.53035881]]
RT @Star2onlinee: Dağları deliyoruz ferhatın şirini deldiği gibi,[[0.46964119 0.53035881]]
Hayırlı Cumalar 🌙,[[0.46964119 0.53035881]]
@7Umuteroglu Hssgfnmn,[[0.46964119 0.53035881]]
"Fal sayfama biri sabahın 6sında sevgilisiyle alakalı soru sorup \"siz uyandığınızda yorumlarsınız karıma yakalanmak istemiyorum\" yazmış. Hoşgeldin evlilik fobisi bebek aq",[[0.46964119 0.53035881]]
RT @furkanvakfi: Adliyeye sevk edilen 3 Furkan Gönüllüsü kardeşimiz için #AdaletBekleyişi Yüreğir Adliyesi önünde devam ediyor.  Kardeşleri…,[[0.46964119 0.53035881]]
@ichbinmeloo @serria049 @yambaxx @AliTufanKirac agajskalajs yani? Savunduğun şeye ve açıklamana bak 6 saat bekkettiler diye mehmetçik mertebesine mi ulaştılar,[[0.46964119 0.53035881]]
görselde yanlıs olan tek bir sey görmedim,[[0.46964119 0.53035881]]
Bi manyak var tüm eski sevgilileri adına kahve içip fal kapatıp fal seansı alıyor çıldırıcam BACIM EXLERİN İÇİN KAFEİN KOMASINA GİRMENE DEĞER Mİ YA DEĞER Mİ,[[0.46964119 0.53035881]]
Çok şey istemiyorum küçük sevinçler verin yeter.,[[0.46964119 0.53035881]]
Dost sevindirmeyi iyi biliriz ama favorimiz düşman çatlatmak.,[[0.46964119 0.53035881]]
Bir içilir yaaa,[[0.46964119 0.53035881]]
@FakirKahvaltisi bi de bana sor..,[[0.45258446 0.54741554]]
RT @MustafaSahinFV: İftiracıİHA RezilOldu #FurkanaKumpasÇöktü,[[0.46964119 0.53035881]]
RT @AhmedCelikten: HANİ FURKANCILAR KAÇIRMIŞTI? Basına sızdırdıkları montaj video ile Furkan Gönüllüleri kaçırdı algısı vermeye çalışan @ih…,[[0.72401034 0.27598966]]
@Ozgekocahan Böyle daha iyii,[[0.46964119 0.53035881]]
"RT @mehmet_sumer2: Alparslan Kuytul Hocaefendi'de Adana Emniyeti önünde basın açıklaması!  \"Arkadaşlarımız ifadesini emniyette vermeyecekle…",[[0.45258446 0.54741554]]
Hayat kısa gülüşün çok güzel,[[0.46964119 0.53035881]]
@onurozsumbull @_kubrakkaya 😂😂,[[0.46964119 0.53035881]]
@rumsplaining selam askım bi hesap sınırlaması varmıs diye haber geldi,[[0.46964119 0.53035881]]
Bizi mahveden şeyler en çok sevdiklerimizdir.,[[0.46964119 0.53035881]]
Utangaç olmak,[[0.46964119 0.53035881]]
Geçmeyen bir diş ağrısı yapmışlar üç gündür geberiyorum :(,[[0.46964119 0.53035881]]
cok kilo almısım tartıya bile sıgmıorum malsf  https://t.co/4KCYWrUyqv,[[0.40711539 0.59288461]]
RT @psk_dan_ersin: vatandaşına bu şekilde keyfi ve acımasız müdahale etme hangi kanunda var?  Kanun adamları kanuna uymuyor! POLİS DEVLETİ…,[[0.46964119 0.53035881]]
@kahvefalibaktir Tesekkur ederim,[[0.46964119 0.53035881]]
Yaşamaya dair sıfır enerji böyle hayatın aq,[[0.46964119 0.53035881]]
bu sitede bahsedilen arkadaş her hafta başkasının arkadaşı oluyo haftaya da bende bu tweet,[[0.46964119 0.53035881]]
@edanuraltuntas3 @marycegh ❤️❤️,[[0.46964119 0.53035881]]
Duygu mu bıraktınız lan acıyalım size,[[0.46964119 0.53035881]]
Bayram die çok yedim yine malsf  https://t.co/iV3QFXcPxu,[[0.45506871 0.54493129]]
@kymopolleia Beyaz noktadan ölçtüm  o kadar değil,[[0.46964119 0.53035881]]
RT @Rabbaniyim: AdanaEmniyetinde İşkence,[[0.46964119 0.53035881]]
@pelinuzl yok (NİĞDE'DE)😉😃,[[0.58672207 0.41327793]]
@sampiyonkosucu Borsa kumarhane değil diyor ama şirketler 5 günde 💯 50 kar veya zarar edebiliyor. Bir şirket yılda 💯 10 üzeri büyüye biliyorsa veya 💯 20 bu büyük başarı ama borsa İstanbul’da bu bir haftada olabiliyor bu kadar hızlı sert iniş çıkışlar kumara daha yatkın kalıyor.,[[0.36628887 0.63371113]]
Ağlarken dinlediğim playlistime biri murat boz eklemiş TAM AĞLIYORUM HAVAYA GİRDİM ORDAN YARRAK KÜREK BAĞIRIYO SİKİCEM DEPRESYONA DA GİREMİYORUZ AĞIZ TADIYLA,[[0.46964119 0.53035881]]
@Burakhandiyiniz @tekellci Uyucam sonra konuşuruz (insta çevrimiçi)  kdkf,[[0.46964119 0.53035881]]
RT @MahmudPalaz: Tüm körler gördü,[[0.46964119 0.53035881]]
@sadveilledbride Güzel ayçiçeği umudunu sakın kaybetmeee ve hayallerinden sakın vazgeçme 💖🌸✨☀️🌻🌞💘💝💙  https://t.co/DbbB678SK8,[[0.40711539 0.59288461]]
@Ulubatl99683747 Hayırlı bayramlar abicim..,[[0.46964119 0.53035881]]
@k3direm @sizeeneeaq Sana rakip olabilir 🤔😊,[[0.46964119 0.53035881]]
@Ali_Efendi_ @NLpeyniri Hocanız ile arkanıza yaslanıp izleyin Amerika’dan ne geldiyse bu ülkenin başına sizin gibi yezit tayfesinden geldi.,[[0.46964119 0.53035881]]
RT @AjansMuhbir: Bakanlıklardan “Göç tehlikesi yok” açıklaması gelirken; Ankara-Niğde otobanının yol kenarında duran bir TIR’ın içinden yüz…,[[0.46964119 0.53035881]]
Günaydın time,[[0.46964119 0.53035881]]
@Picmolia8 Kendine yaslanan dik yürür.,[[0.46964119 0.53035881]]
@t24comtr Kağıt üzerinde başlar orada kalır.,[[0.46964119 0.53035881]]
Aşık olalım derken aşı olduk elim yerde geziyorum çok kötüü,[[0.46964119 0.53035881]]
@larex48 @sunecenr @dilrenaso ders programı kısmında yazıyordur oradan bakabilirsin,[[0.46964119 0.53035881]]
RT @sadpicturess:  https://t.co/0JLtcSmp0E,[[0.40711539 0.59288461]]
@t24comtr Çaresizlik kuzuyu kurda sordururmuş.,[[0.46964119 0.53035881]]
RT @yuzyuzeykenden:  https://t.co/VXR0WanwEk,[[0.40711539 0.59288461]]
@MrEngin07 Ben seviyorum,[[0.28852765 0.71147235]]
@sumeyyademirel7 Maalesef ki salaklar ya,[[0.46964119 0.53035881]]
Yani ben bana yeterim,[[0.28852765 0.71147235]]
RT @Huzursesimiz123: Furkan Gönüllülerine Kumpas Devam Ediyor! Bir Gönüllü Daha Haksızca Tutuklandı! Yargısızİnfaza Son  https://t.co/Noe97T…,[[0.37038487 0.62961513]]
Hep bunlar tek n ile günaydın değilde günoooo yazdık diye,[[0.46964119 0.53035881]]
canım evet bence de insanlar belirli yaşa geldiklerinde kendi emekleriyle para kazanmalı  https://t.co/Enx7UGYv22,[[0.41515248 0.58484752]]
Daha iyi olanı değil,[[0.46964119 0.53035881]]
@hatunpic_ Bende öyle düşünüyordum başda  4 bin 40 bin olunca korkum biraz geçti😊 şimdi niye daha önce girmemişim diyorum tabi karar senin.,[[0.46964119 0.53035881]]
RT @semrakuytul: Koray S.nin kardeşi bu sabah (Koray s. bulunmadan önce) Furkan Gönüllülerine attıkları bu iftirayı isim vermeden sürdürmek…,[[0.41002256 0.58997744]]
Herkes menfaatince insan.,[[0.46964119 0.53035881]]
RT @_dr_dodo: dualarınızı,[[0.46964119 0.53035881]]
RT @frknnesli12: Elhamdulillah Rabbim sucsuzluklarini ispat etti,[[0.46964119 0.53035881]]
@pyanepsion canım doğru yolu bulduğun için çok mutluyum 🕋🤲🏻,[[0.46964119 0.53035881]]
G n ü y a ı d n,[[0.46964119 0.53035881]]
@angelifca ☁️🧜🏻‍♀️  https://t.co/TgdH3Hoe30,[[0.40711539 0.59288461]]
@iyiinsanlarrr @Ban3457 @binkitapaIinti Umarım isteğiniz gerçekleşir🙏,[[0.46964119 0.53035881]]
RT @oncufatihsahin: Yürüyün dediğinde en başta kendi yürür,[[0.46964119 0.53035881]]
@olduozaman000 O halde neden başımıza iyi veya kötü bir olay geldiğinde kader diye adlandırıyoruz. Çünkü kaderimizde yazılıydı ve oldu buna inanırız veya inanmayız bu bizim tercihimiz ama yine de yaşananları biz seçip belirleyemeyiz.,[[0.45258446 0.54741554]]
Ben her şey yolundaymış gibi aptalı oynayacağım bu maskeli baloda.,[[0.28852765 0.71147235]]
@Ozgekocahan Seni senden başka kim üzebilir tatlım ya,[[0.46964119 0.53035881]]
@Haddiordan Nude ne,[[0.46964119 0.53035881]]
RT @saintlacrime: the world to come (mona fastvold,[[0.34123718 0.65876282]]
RT @Ruya_Grck: Savcının itirazı üzerine yapılan mahkeme(!)  Dikkat! Hakimin Sekreterinin odası👇  Hakim oturmadan şöyle bir dosyayı karıştır…,[[0.46964119 0.53035881]]
@Aysenurtiryaki2 AHAJAKALAJSJD acilden yazıyorum ğ alerjim için serum taktılar,[[0.46964119 0.53035881]]
RT @furkanhabernet: Adliyeye sevk edilen 3 Furkan Gönüllüsüne sosyal medyadan destek,[[0.46964119 0.53035881]]
"RT @GencKemalistle: 🗣 Sedat Peker: \"Ziraat Bankası Demirören'e 750 milyon dolar verdi",[[0.46964119 0.53035881]]
Hayatta başımıza gelen çoğu kötü şeyden sona fazlaca olgunlaşıyor insanları daha iyi tanıyoruz bu yüzden çokta üzülmeye gerek yok tam tersine bazı şeyleri daha iyi görmemizi sağladığı için sevinmeliyiz.,[[0.46964119 0.53035881]]
@Lik3Dyin olur olur yeriz yeriz,[[0.46964119 0.53035881]]
Bi yerde şey okumuştum   'Seviyorsan git tükür kaç bence'   yazıyordu sjsjsh,[[0.46964119 0.53035881]]
@Ayyildiz013547 Ben hahxh,[[0.28852765 0.71147235]]
RT @frknnesli12: Çocuklar anne babalarının sözlerini değil izlerini takip ederler...  https://t.co/OTeEW60hz2,[[0.40711539 0.59288461]]
RT @Huseyin_Sah27: Yusuf hocama yapılan bu işkenceleri duyunca aklıma içinde Şehit Seyyid Kutup'un,[[0.46964119 0.53035881]]
RT @fv_memikyalc: Mücadeleye devam   Kardeşlerimiz SerbestKalsın,[[0.46964119 0.53035881]]
RT @Rmysa_Sari: Elhamdülillah! 8 Eylülden beri kayıp olan eşim çok şükür döndü. Bir mafya tarafından kaçırılmış ve çok zor günler geçirmiş…,[[0.46964119 0.53035881]]
RT @furkanhuzeyfe: Adliye Önünde Zulüm | CANLI YAYIN  Kardeşlerimiz SerbestKalsın #AdaletBekleyişi #AdaletYeriniBulsun    https://t.co/Vykh4…,[[0.40711539 0.59288461]]
@Ogulcangungordu @dralpsimsek 😄😄,[[0.46964119 0.53035881]]
@politicturk @Edwardlows Suriye’den donu kaldırmadan kaç burda da silah göster.kılığına sokim senin.,[[0.46964119 0.53035881]]
Nasıl yapacaz nasıl kurtuluruz demekten yıldımmm,[[0.46964119 0.53035881]]
@atarl_cavidan61 Aleyküm selam  🤗,[[0.46964119 0.53035881]]
@angelifca 💫💫💫💫💫✨✨✨✨✨✨⭐⭐⭐⭐⭐⭐⭐🌟🌟🌟🌟🌟🌟🌟,[[0.46964119 0.53035881]]
@royzvow rapçi ve ünlü olduğundan kanka ama istersen sen kimsin ve niye bu kadar takipçin var açıklayabilirsin,[[0.46964119 0.53035881]]
Yaşama anlam kazandıran bir kafa taşıyın.,[[0.46964119 0.53035881]]
@Ozgekocahan Bunalımdayım özgeeeee,[[0.46964119 0.53035881]]
Gün içinde 1 litre kahve içtikten sonra gece neden uykumun gelmediğini sorguluyorum  https://t.co/XBQX92ePEm,[[0.40711539 0.59288461]]
bi de yutturmaya çalışmış en başta soru alıyorum cnm diye ahajals canım danışanlarım sizin için mükemmel bir danışman olduğumu biliyorsunuz değil mi hepinizi çok seviyorum,[[0.45258446 0.54741554]]
@scarletmagicall bu arkadastan ben de alabilir miyim bi tane 👉🏻👈🏻,[[0.3229543 0.6770457]]
RT @abdibaktur: Evde canım sıkılıyoo.. asdfglhidks  https://t.co/BaAyT7R3U8,[[0.40711539 0.59288461]]
"RT @recepilanfv: Medyaya Güvenmeli Miyiz? - Kaçırılan İş Adamı Hadisesi \"10 Eylül 2021’den bu yana Türkiye gündemini meşgul eden kaybolan i…",[[0.31077897 0.68922103]]
RT @hergunyenibil: 2 fil 2 farklı yüksek bir yerden iniş tekniği...❤️  https://t.co/9cNJmjmNAf,[[0.40711539 0.59288461]]
İnsanları iyileştirmek için bu kadar kendimizden ödün vermek doğru değil. Kimsenin anne/babası veya psikoloğu değiliz. Düzelmek isteyen düzelir,[[0.46964119 0.53035881]]
Hayattan istediğim herşey şuanki gibi değil,[[0.46964119 0.53035881]]
@toskofacts Çalıkuşu,[[0.46964119 0.53035881]]
@ensonhaber Ne kadar komiksiniz😂,[[0.46964119 0.53035881]]
RT @kuytulhoca: Alparslan Kuytul Hocaefendi Artı TV'nin canlı yayınına katılarak 3 Furkan Gönüllüsünün maruz kaldığı işkenceleri anlattı.…,[[0.65019625 0.34980375]]
RT @SAVUNANADAM2701: Adliyeye sevk edilen 3 Furkan Gönüllüsü kardeşimiz için #AdaletBekleyişi Yüreğir Adliyesi önünde devam ediyor.  Kardeş…,[[0.46964119 0.53035881]]
@csofmyeuphoriax @Hodbehot  https://t.co/3EwQIKtfcH,[[0.40711539 0.59288461]]
Darda kaldım diye umutsuz olma,[[0.46964119 0.53035881]]
danışanlarıma karşı o kadar kibarım ki sizli bizli konuşmalar,[[0.46964119 0.53035881]]
Dürümcüde sevgililer yoktur dimi bu saatte yemeğe gidicem de sevgili görmek istemiyorum iştahım kesiliyor sonra alerji yapıyor.,[[0.45258446 0.54741554]]
@csofmyeuphoriax Görmemişim bebek hemen bakıyorum ❤️,[[0.46964119 0.53035881]]
@Damlanurgokkk ❣️❣️,[[0.46964119 0.53035881]]
Kızım soğan salatası yapamazsan olmaz,[[0.46964119 0.53035881]]
RT @Zahit_Adam: 4 Gündür Hiçbir Suçu Olmadığı Halde Gözaltında Tutulan 3 Furkan Gönüllüsü Serbest Bırakılsın!  Kardeşlerimiz SerbestKalsın…,[[0.46964119 0.53035881]]
Arkadaş ortamında Atakan gibi değilim artık hahahahahah  https://t.co/Hd0q7MGOZf,[[0.40711539 0.59288461]]
Günaydın / Rahmetli Canlılar..,[[0.46964119 0.53035881]]
@CihanH4N :),[[0.46964119 0.53035881]]
RT @Davam71126711: KaranlıkGüçler İşBaşında,[[0.46964119 0.53035881]]
RT @tevhidnesli_4: ADANA ADLİYESİ ÖNÜNDE BEKLEYİŞ | CANLI YAYIN   Kardeşlerimiz SerbestKalsın,[[0.46964119 0.53035881]]
